Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
mount isa,0.0,AU,1561953536.0,23.0,-20.73,139.49,75.2,8.05
hare bay,75.0,CA,1561953469.0,100.0,48.86,-53.99,51.01,6.93
havoysund,0.0,NO,1561953537.0,53.0,71.0,24.66,51.8,5.82
atar,0.0,MR,1561953537.0,14.0,20.52,-13.05,90.11,13.94
aklavik,75.0,CA,1561953537.0,47.0,68.22,-135.01,55.4,3.36
horsham,100.0,AU,1561953537.0,62.0,-36.71,142.2,52.2,15.12
soe,85.0,EE,1561953538.0,56.0,57.91,26.05,69.8,16.11
miami,1.0,US,1561953381.0,88.0,25.77,-80.19,82.0,2.93
saint-augustin,20.0,CA,1561953538.0,88.0,45.63,-73.98,66.2,3.36
santiago del estero,89.0,AR,1561953395.0,66.0,-27.8,-64.26,49.85,5.26
aguimes,20.0,ES,1561953539.0,73.0,27.91,-15.45,69.8,23.04
port blair,75.0,IN,1561953539.0,79.0,11.67,92.75,86.0,11.41
melbu,100.0,NO,1561953539.0,80.0,68.5,14.83,50.0,18.99
batemans bay,0.0,AU,1561953540.0,54.0,-35.71,150.18,57.99,5.99
alofi,20.0,NU,1561953540.0,69.0,-19.06,-169.92,77.0,12.75
qaanaaq,0.0,GL,1561953540.0,50.0,77.48,-69.36,49.43,4.23
manado,40.0,ID,1561953409.0,52.0,1.49,124.85,89.6,12.75
do gonbadan,0.0,IR,1561953541.0,22.0,30.36,50.8,86.0,1.72
juchitepec,75.0,MX,1561953541.0,59.0,19.11,-98.88,60.8,9.17
lumeje,0.0,AO,1561953541.0,45.0,-11.56,20.78,51.92,3.02
salta,90.0,AR,1561953448.0,87.0,-24.79,-65.41,51.8,6.93
estelle,75.0,FR,1561953542.0,94.0,43.97,3.47,73.4,3.36
walvis bay,0.0,NA,1561953022.0,76.0,-22.95,14.51,57.2,6.93
aripuana,0.0,BR,1561953396.0,60.0,-9.17,-60.63,75.91,2.17
cabo san lucas,5.0,MX,1561953392.0,54.0,22.89,-109.91,82.99,4.7
bonthe,100.0,SL,1561953543.0,87.0,7.53,-12.5,77.08,7.4
balkanabat,0.0,TM,1561953543.0,55.0,39.51,54.36,77.44,21.07
saint anthony,1.0,US,1561953544.0,27.0,43.97,-111.68,75.2,8.05
amahai,78.0,ID,1561953544.0,83.0,-3.31,129.0,79.56,3.67
pozo colorado,100.0,PY,1561953544.0,90.0,-23.49,-58.8,62.73,9.35
villa corzo,90.0,MX,1561953545.0,78.0,16.19,-93.27,75.2,6.93
sawakin,0.0,SD,1561953545.0,52.0,19.1,37.33,85.11,9.84
chimoio,0.0,MZ,1561953466.0,87.0,-19.11,33.48,59.0,3.2
paita,91.0,PE,1561953545.0,91.0,-5.09,-81.11,64.55,14.85
mnogovershinnyy,41.0,RU,1561953546.0,42.0,53.94,139.92,72.58,8.3
jiaocheng,100.0,CN,1561953546.0,52.0,24.68,116.14,92.56,2.26
kurali,0.0,IN,1561953546.0,54.0,30.83,76.58,78.8,8.75
roebourne,0.0,AU,1561953547.0,15.0,-20.77,117.15,80.52,13.49
iqaluit,20.0,CA,1561953310.0,80.0,63.75,-68.52,41.0,9.17
lardos,0.0,GR,1561953547.0,44.0,36.09,28.02,78.8,8.05
itoman,75.0,JP,1561953548.0,70.0,26.12,127.67,89.6,23.04
raudeberg,75.0,NO,1561953413.0,93.0,61.99,5.14,54.0,20.8
nouadhibou,0.0,MR,1561953548.0,83.0,20.93,-17.03,66.35,27.85
mahendranagar,0.0,IN,1561953548.0,37.0,28.02,81.63,98.01,9.13
neuquen,0.0,AR,1561953047.0,61.0,-38.95,-68.06,32.0,2.24
lazaro cardenas,5.0,MX,1561953549.0,17.0,28.39,-105.62,82.4,6.93
lormont,90.0,FR,1561953549.0,93.0,44.88,-0.52,68.0,6.93
mayo,90.0,CA,1561953549.0,41.0,63.59,-135.9,77.0,5.82
mbigou,27.0,GA,1561953550.0,98.0,-1.9,11.91,65.56,1.3
valer,97.0,ES,1561953550.0,95.0,41.76,-6.18,59.01,2.1
bara,100.0,NG,1561953431.0,74.0,10.41,10.6,79.08,5.55
san policarpo,100.0,PH,1561953000.0,72.0,12.18,125.51,84.82,13.6
alugan,100.0,PH,1561953551.0,51.0,12.22,125.48,90.58,8.61
marawi,100.0,PH,1561953551.0,72.0,8.0,124.29,86.0,8.01
iskateley,100.0,RU,1561953552.0,79.0,67.68,53.15,49.6,16.82
shakhovskaya,75.0,RU,1561953552.0,87.0,56.03,35.51,55.39,7.27
qasigiannguit,40.0,GL,1561953552.0,80.0,68.82,-51.19,39.2,3.36
sao jose de piranhas,7.0,BR,1561953553.0,96.0,-7.12,-38.5,67.99,4.09
madimba,75.0,CM,1561953553.0,94.0,4.42,9.93,75.2,11.41
airai,99.0,TL,1561953398.0,71.0,-8.93,125.41,75.86,2.13
wanning,0.0,AT,1561953025.0,88.0,48.64,13.53,69.01,2.24
constitucion,40.0,MX,1561953449.0,52.0,23.99,-104.67,66.2,13.87
tias,90.0,ES,1561953555.0,73.0,28.96,-13.65,69.8,13.87
nordenham,75.0,DE,1561953555.0,87.0,53.5,8.48,61.0,8.05
kutum,52.0,SD,1561953012.0,52.0,14.2,24.66,78.66,1.41
veraval,0.0,FR,1561953556.0,93.0,49.65,0.71,57.2,4.7
lagunillas,100.0,VE,1561953556.0,83.0,8.5,-71.39,65.72,3.83
dukhovshchina,55.0,RU,1561953556.0,92.0,55.19,32.41,60.36,9.22
opuwo,0.0,NA,1561953041.0,87.0,-18.06,13.84,42.45,1.7
san lorenzo,46.0,HN,1561953557.0,70.0,13.43,-87.45,79.89,2.66
sola,0.0,TZ,1561953557.0,75.0,-3.17,33.8,62.07,5.17
rach gia,40.0,VN,1561953558.0,83.0,10.02,105.08,82.4,12.75
gat,49.0,SN,1561953558.0,88.0,14.69,-16.54,75.2,3.36
damghan,100.0,IR,1561953558.0,94.0,36.17,54.34,59.53,4.38
bilibino,100.0,RU,1561953559.0,89.0,68.06,166.44,41.08,7.11
ateptsevo,0.0,RU,1561953559.0,82.0,55.32,36.75,63.0,6.71
grand-santi,100.0,GF,1561953559.0,99.0,4.27,-54.38,71.37,1.5
ahlat,0.0,TR,1561953560.0,71.0,38.75,42.49,47.63,5.41
vanimo,2.0,PG,1561953560.0,72.0,-2.67,141.3,82.18,6.4
san pedro,0.0,AR,1561952734.0,85.0,-33.68,-59.66,42.01,1.99
miles city,90.0,US,1561953560.0,93.0,46.41,-105.84,62.6,9.17
mandera,94.0,ET,1561953561.0,70.0,3.94,41.86,76.79,16.17
naples,0.0,IT,1561953561.0,56.0,40.84,14.25,77.0,4.7
hithadhoo,68.0,MV,1561953561.0,68.0,-0.6,73.08,84.12,5.39
vanavara,2.0,RU,1561953461.0,34.0,60.35,102.28,87.72,4.85
hovd,75.0,NO,1561953562.0,93.0,63.83,10.7,53.6,9.17
astaneh-ye ashrafiyeh,90.0,IR,1561953562.0,94.0,37.26,49.94,69.8,6.93
atasu,0.0,KZ,1561953562.0,38.0,48.68,71.64,67.79,17.16
poplar bluff,0.0,US,1561953563.0,94.0,36.76,-90.39,82.99,2.75
hanstholm,20.0,DK,1561953563.0,75.0,57.12,8.61,60.01,1.99
oranjemund,0.0,ZA,1561953504.0,87.0,-28.55,16.43,56.2,13.62
tiruchchendur,99.0,IN,1561953563.0,57.0,8.48,78.12,86.71,11.48
erandique,98.0,HN,1561953564.0,97.0,14.24,-88.47,63.6,1.97
mawlaik,100.0,MM,1561953564.0,94.0,23.63,94.42,76.06,2.64
vidim,0.0,CZ,1561953564.0,56.0,50.47,14.53,71.6,5.82
dunedin,100.0,NZ,1561952929.0,55.0,-45.87,170.5,55.0,1.99
bathsheba,20.0,BB,1561953349.0,74.0,13.22,-59.52,82.4,19.46
matara,20.0,BI,1561953565.0,88.0,-3.48,29.48,68.0,2.24
kavaratti,75.0,IN,1561953565.0,79.0,10.57,72.64,84.2,9.17
alexandria,0.0,RO,1561953365.0,70.0,43.97,25.33,69.01,5.26
rawson,24.0,AR,1561953395.0,60.0,-43.3,-65.11,32.87,11.21
inirida,40.0,CO,1561953045.0,99.0,3.87,-67.92,72.04,1.54
santa rosa,0.0,AR,1561953544.0,56.0,-36.62,-64.29,37.73,3.69
nalut,0.0,LY,1561953566.0,54.0,31.86,10.98,74.24,6.49
waipawa,69.0,NZ,1561952986.0,68.0,-39.94,176.59,55.99,5.01
grand bank,100.0,CA,1561953567.0,95.0,47.1,-55.77,52.91,14.47
vallenar,100.0,CL,1561953567.0,80.0,-28.58,-70.76,46.39,0.36
kisangani,86.0,CD,1561953567.0,82.0,0.52,25.21,70.83,0.58
gumla,100.0,IN,1561953568.0,64.0,23.04,84.54,81.44,2.21
san miguel,0.0,AR,1561953568.0,87.0,-34.54,-58.72,46.4,9.17
okha,0.0,RU,1561953568.0,61.0,53.59,142.95,58.85,17.31
grafton,90.0,AU,1561953569.0,60.0,-29.69,152.93,68.0,5.82
sioux lookout,40.0,CA,1561953569.0,40.0,50.1,-91.92,73.4,5.82
winnemucca,1.0,US,1561953569.0,10.0,40.97,-117.74,78.8,11.41
sinnamary,100.0,GF,1561953570.0,82.0,5.38,-52.96,79.35,10.22
baikunthpur,0.0,IN,1561953570.0,51.0,23.26,82.56,87.7,7.18
choix,99.0,MX,1561953570.0,85.0,26.71,-108.33,72.55,4.12
waterloo,100.0,SL,1561953514.0,93.0,8.34,-13.07,75.87,9.73
okhotsk,1.0,RU,1561953571.0,58.0,59.36,143.24,62.9,12.15
riyadh,0.0,SA,1561953571.0,13.0,24.63,46.72,86.0,2.24
flin flon,91.0,CA,1561953571.0,51.0,54.77,-101.88,62.57,6.2
viraganur,100.0,IN,1561953572.0,67.0,11.48,78.74,80.37,8.52
navalmoral de la mata,0.0,ES,1561953572.0,51.0,39.89,-5.54,69.01,3.09
wahiawa,90.0,US,1561953572.0,78.0,21.5,-158.02,84.2,5.82
antalaha,2.0,MG,1561953572.0,93.0,-14.9,50.28,58.86,3.69
norwalk,1.0,US,1561953573.0,47.0,33.91,-118.08,75.99,3.36
hambantota,90.0,LK,1561953457.0,89.0,6.12,81.12,84.2,17.22
mpraeso,45.0,GH,1561953573.0,99.0,6.6,-0.73,69.97,1.43
diamantino,0.0,BR,1561953574.0,51.0,-14.4,-56.44,71.05,3.06
tumut,62.0,AU,1561953574.0,55.0,-35.3,148.22,49.32,4.83
wilmington,1.0,US,1561953392.0,49.0,39.75,-75.55,73.4,4.7
howard springs,0.0,AU,1561953574.0,33.0,-12.5,131.05,89.01,9.17
hobyo,52.0,SO,1561953575.0,70.0,5.35,48.53,79.46,17.94
una,0.0,IN,1561953575.0,23.0,31.47,76.27,97.93,4.54
benghazi,0.0,LY,1561953575.0,62.0,32.12,20.07,76.6,21.0
kaabong,85.0,UG,1561953576.0,88.0,3.51,34.14,62.16,2.01
zyryanka,100.0,RU,1561953576.0,24.0,65.73,150.89,69.97,8.95
krasnomayskiy,0.0,RU,1561953576.0,63.0,55.0,82.52,64.4,4.47
nexo,0.0,DK,1561953004.0,77.0,55.06,15.13,62.6,17.22
riachao,60.0,BR,1561953577.0,59.0,-7.36,-46.62,74.56,4.12
shingu,75.0,JP,1561953006.0,100.0,33.72,135.99,75.2,1.12
vestmannaeyjar,100.0,IS,1561953577.0,79.0,63.44,-20.27,51.57,3.83
ancud,75.0,CL,1561953578.0,100.0,-41.87,-73.83,35.6,5.82
sistranda,75.0,NO,1561953578.0,93.0,63.73,8.83,51.01,10.29
wagga wagga,72.0,AU,1561953578.0,66.0,-35.12,147.37,54.0,4.7
caluquembe,0.0,AO,1561953578.0,56.0,-13.78,14.68,51.57,3.4
bundaberg,75.0,AU,1561953418.0,49.0,-24.87,152.35,77.0,11.41
oktyabrskiy,0.0,RU,1561953579.0,77.0,55.61,37.97,63.0,4.47
abnub,0.0,EG,1561953579.0,33.0,27.27,31.15,75.2,2.24
storforshei,100.0,NO,1561953579.0,96.0,66.4,14.52,45.0,5.01
pustoshka,60.0,RU,1561953580.0,79.0,56.34,29.37,61.11,10.45
northam,40.0,AU,1561953353.0,72.0,-31.65,116.67,64.4,3.36
west wendover,1.0,US,1561953293.0,28.0,40.74,-114.07,82.4,23.04
sharjah,5.0,AE,1561953581.0,31.0,25.36,55.39,91.4,6.93
pacific grove,1.0,US,1561953581.0,82.0,36.62,-121.92,68.0,6.93
kendari,42.0,ID,1561953581.0,63.0,-3.99,122.52,86.22,2.53
boa vista,75.0,BR,1561953582.0,83.0,2.82,-60.67,80.6,3.36
roros,100.0,NO,1561953582.0,100.0,62.57,11.38,42.8,2.24
yinchuan,0.0,CN,1561953582.0,18.0,38.48,106.21,82.97,4.76
shenzhen,40.0,CN,1561953563.0,70.0,22.54,114.05,90.0,5.82
porto novo,0.0,BR,1561953391.0,88.0,-23.68,-45.44,62.6,8.61
tashla,0.0,RU,1561953583.0,77.0,53.71,49.75,59.0,2.24
pitimbu,90.0,BR,1561953584.0,100.0,-7.47,-34.81,73.4,4.7
noyabrsk,100.0,RU,1561953584.0,59.0,63.2,75.45,64.05,9.53
mudgee,0.0,AU,1561953584.0,31.0,-32.6,149.59,60.8,3.36
santa ana,85.0,MX,1561953584.0,46.0,30.54,-111.12,93.0,1.01
puerto del rosario,60.0,ES,1561953585.0,73.0,28.5,-13.86,69.8,21.92
spearfish,1.0,US,1561953585.0,88.0,44.49,-103.86,68.0,17.22
celestun,100.0,MX,1561953585.0,86.0,20.87,-90.4,77.91,19.91
ahuimanu,90.0,US,1561953586.0,83.0,21.44,-157.84,84.2,10.29
pokaran,0.0,IN,1561953586.0,61.0,26.93,71.92,87.32,19.28
kampot,75.0,KH,1561953297.0,88.0,10.62,104.18,77.0,1.12
arethousa,0.0,GR,1561953586.0,64.0,40.74,23.59,73.0,3.36
teguise,90.0,ES,1561953587.0,73.0,29.06,-13.56,69.8,13.87
faya,20.0,SA,1561953411.0,52.0,18.39,42.45,71.6,3.36
carinhanha,0.0,BR,1561953587.0,71.0,-14.3,-43.77,65.7,3.38
mucuri,0.0,BR,1561953588.0,96.0,-18.08,-39.55,68.03,2.93
hamilton,20.0,CA,1561953127.0,68.0,43.26,-79.87,66.99,2.24
sandwick,68.0,GB,1561953588.0,93.0,54.57,-2.89,60.01,18.34
sitka,0.0,US,1561953588.0,72.0,37.17,-99.65,75.0,5.99
tula,52.0,RU,1561953543.0,90.0,54.19,37.62,52.47,5.28
muravlenko,100.0,RU,1561953589.0,57.0,63.79,74.5,70.31,16.08
angoche,0.0,MZ,1561953589.0,96.0,-16.23,39.91,68.73,4.5
hami,92.0,CN,1561953590.0,13.0,42.84,93.51,90.47,9.46
yerofey pavlovich,16.0,RU,1561953590.0,35.0,53.97,121.97,79.78,12.48
bulgan,90.0,MN,1561953590.0,59.0,48.81,103.53,61.06,3.91
dossor,100.0,KZ,1561953591.0,65.0,47.52,52.98,69.31,18.03
vigrestad,75.0,NO,1561953591.0,87.0,58.57,5.7,57.2,11.41
chapais,1.0,CA,1561953591.0,77.0,49.78,-74.86,62.6,3.36
sambava,24.0,MG,1561953591.0,87.0,-14.27,50.17,62.23,3.87
souillac,90.0,FR,1561953592.0,88.0,45.6,-0.6,66.99,13.87
ostrovnoy,0.0,RU,1561953592.0,63.0,68.05,39.51,45.76,7.99
bhunya,0.0,SZ,1561953593.0,45.0,-26.54,31.01,51.79,5.93
monrovia,75.0,LR,1561953564.0,94.0,6.33,-10.8,75.2,7.78
arlit,0.0,NE,1561953593.0,19.0,18.74,7.39,95.26,12.59
puri,0.0,ID,1561953370.0,55.0,-7.54,112.45,82.07,6.62
paamiut,0.0,GL,1561953594.0,89.0,61.99,-49.67,37.17,12.17
woodward,1.0,US,1561953594.0,60.0,36.43,-99.39,77.0,11.41
ossora,97.0,RU,1561953594.0,84.0,59.24,163.07,54.2,5.7
tilichiki,100.0,RU,1561953595.0,83.0,60.47,166.1,51.56,7.38
berga,0.0,ES,1561953595.0,94.0,42.1,1.85,73.99,4.7
anloga,40.0,GH,1561952995.0,94.0,5.79,0.9,77.0,3.36
trenggalek,3.0,ID,1561953512.0,59.0,-8.05,111.71,78.43,2.8
bayshore gardens,40.0,US,1561953596.0,79.0,27.43,-82.59,86.0,8.05
berlevag,0.0,NO,1561953392.0,57.0,70.86,29.09,50.0,4.7
seredka,66.0,RU,1561953596.0,82.0,58.06,38.14,50.73,2.73
bartica,20.0,GY,1561953597.0,94.0,6.41,-58.62,78.8,4.7
kasongo-lunda,0.0,CD,1561953597.0,43.0,-6.48,16.82,64.88,1.32
tubuala,20.0,PA,1561953597.0,88.0,9.52,-79.03,78.8,5.82
kabanjahe,97.0,ID,1561953597.0,40.0,3.1,98.49,90.0,1.07
isangel,20.0,VU,1561953442.0,69.0,-19.55,169.27,78.8,5.82
sosnovo-ozerskoye,56.0,RU,1561953598.0,38.0,52.53,111.54,73.86,6.35
pandamatenga,0.0,BW,1561953598.0,66.0,-18.54,25.64,49.79,4.25
santa lucia,0.0,IT,1561953599.0,52.0,41.98,12.66,75.99,4.7
sovetskiy,5.0,RU,1561953585.0,86.0,56.76,48.47,52.26,4.94
harrisonburg,1.0,US,1561953554.0,94.0,38.45,-78.87,73.4,5.01
jonkoping,73.0,SE,1561953599.0,77.0,57.78,14.16,59.0,13.87
dukat,0.0,AL,1561953600.0,59.0,40.25,19.57,70.0,1.01
syracuse,1.0,US,1561953324.0,93.0,43.05,-76.15,63.0,3.94
potosi,0.0,BO,1561953600.0,48.0,-19.59,-65.75,39.98,4.61
jingdezhen,2.0,CN,1561953601.0,50.0,29.29,117.2,90.83,3.91
huicheng,75.0,CN,1561953601.0,63.0,23.03,116.29,91.4,6.71
pinega,85.0,RU,1561953601.0,52.0,64.7,43.39,49.45,1.57
tikhoretsk,3.0,RU,1561953602.0,75.0,45.85,40.13,58.4,8.99
altea,0.0,ES,1561953604.0,57.0,38.6,-0.05,75.2,5.82
honningsvag,0.0,NO,1561953605.0,53.0,70.98,25.97,51.8,5.82
aparecida do taboado,9.0,BR,1561953605.0,62.0,-20.08,-51.1,68.94,5.39
borovichi,31.0,RU,1561953606.0,72.0,58.39,33.91,56.47,6.53
swift current,1.0,CA,1561953607.0,63.0,50.29,-107.8,62.6,5.82
baherden,44.0,TM,1561953408.0,71.0,38.44,57.43,73.43,12.59
westport,1.0,US,1561953608.0,64.0,41.14,-73.36,71.6,6.93
mehamn,0.0,NO,1561953609.0,57.0,71.03,27.85,51.8,4.7
saint-joseph,0.0,FR,1561953525.0,78.0,43.56,6.97,78.8,3.36
srednekolymsk,95.0,RU,1561953610.0,44.0,67.46,153.71,59.82,10.76
hofn,39.0,IS,1561953610.0,86.0,64.25,-15.21,28.45,10.54
bhimunipatnam,75.0,IN,1561953610.0,74.0,17.88,83.43,84.2,9.17
glasgow,75.0,GB,1561953578.0,93.0,55.86,-4.24,55.99,12.75
saint-esteve,3.0,FR,1561953611.0,88.0,42.71,2.84,75.0,3.36
rosarito,40.0,CO,1561953611.0,100.0,4.91,-75.23,66.2,3.36
bachaquero,100.0,VE,1561953612.0,72.0,9.96,-71.12,86.26,12.17
pingliang,11.0,CN,1561953612.0,35.0,35.54,106.68,74.58,8.52
mitsamiouli,20.0,KM,1561953612.0,78.0,-11.38,43.28,73.4,5.82
dire dawa,72.0,ET,1561953613.0,69.0,9.59,41.86,67.06,6.62
hualmay,88.0,PE,1561953613.0,89.0,-11.1,-77.61,63.27,17.96
umm lajj,0.0,SA,1561953614.0,72.0,25.02,37.27,84.6,5.66
broome,0.0,GB,1561953614.0,93.0,52.47,1.45,57.99,10.29
coquimbo,0.0,CL,1561953614.0,87.0,-29.95,-71.34,46.4,6.93
svetlogorsk,75.0,RU,1561953032.0,87.0,53.14,59.15,57.2,6.71
nieuw amsterdam,40.0,SR,1561953615.0,94.0,5.88,-55.08,75.2,4.7
kindu,0.0,CD,1561953615.0,77.0,-2.95,25.92,69.18,0.76
moerai,66.0,PF,1561953615.0,69.0,-22.43,-151.33,69.75,19.86
shu,0.0,KZ,1561953616.0,30.0,43.6,73.76,82.57,3.24
batagay,80.0,RU,1561953054.0,34.0,67.65,134.64,69.63,6.38
rio grande,100.0,BR,1561953616.0,70.0,-32.03,-52.1,55.55,6.08
inuvik,75.0,CA,1561953616.0,47.0,68.36,-133.71,55.4,3.36
alice springs,0.0,AU,1561953617.0,23.0,-23.7,133.88,73.4,10.29
channel-port aux basques,100.0,CA,1561953617.0,97.0,47.57,-59.14,50.55,20.76
yabrud,0.0,SY,1561953617.0,83.0,33.97,36.66,69.8,4.7
palmer,0.0,AU,1561953618.0,58.0,-34.85,139.16,57.99,19.46
udachnyy,90.0,RU,1561953468.0,77.0,66.42,112.4,64.4,6.71
falmouth,0.0,GB,1561953618.0,87.0,50.16,-5.07,59.0,10.29
carutapera,86.0,BR,1561953618.0,82.0,-1.2,-46.02,75.28,4.94
kenai,1.0,US,1561953619.0,55.0,60.55,-151.26,75.2,19.46
moussoro,0.0,TD,1561953619.0,32.0,13.64,16.49,89.65,9.75
chernyshevskiy,100.0,RU,1561953619.0,44.0,63.01,112.47,81.89,3.71
bad driburg,0.0,DE,1561953620.0,72.0,51.74,9.02,64.0,4.7
abu zabad,0.0,SD,1561953620.0,68.0,12.35,29.25,77.19,8.01
sobolevo,7.0,RU,1561953620.0,97.0,54.43,31.9,61.3,8.52
mwinilunga,0.0,ZM,1561953621.0,52.0,-11.73,24.43,50.4,4.54
west fargo,1.0,US,1561953621.0,78.0,46.88,-96.9,75.99,4.7
limoux,90.0,FR,1561953535.0,83.0,43.05,2.22,75.0,2.24
lander,100.0,US,1561953622.0,54.0,42.83,-108.73,68.0,12.75
samarai,50.0,PG,1561953622.0,68.0,-10.62,150.67,77.62,8.12
severodvinsk,75.0,RU,1561953622.0,81.0,64.56,39.82,48.2,2.24
plettenberg bay,80.0,ZA,1561953622.0,72.0,-34.05,23.37,53.91,6.8
luwuk,100.0,ID,1561953584.0,94.0,-0.95,122.79,66.25,3.65
vila franca do campo,20.0,PT,1561953623.0,88.0,37.72,-25.43,64.4,2.24
jojoima,98.0,SL,1561953623.0,99.0,7.88,-10.79,71.43,0.51
newport,20.0,US,1561953623.0,93.0,41.49,-71.31,66.2,8.05
fort nelson,90.0,CA,1561953624.0,76.0,58.81,-122.69,53.6,9.17
beyneu,99.0,KZ,1561953624.0,53.0,45.32,55.19,72.44,15.5
likasi,0.0,CD,1561953625.0,58.0,-10.99,26.74,51.11,3.24
abha,20.0,SA,1561953548.0,52.0,18.22,42.5,71.6,3.36
penzance,2.0,GB,1561953625.0,87.0,50.12,-5.53,59.0,10.29
osakarovka,0.0,KZ,1561953628.0,51.0,50.56,72.58,62.75,18.05
sungairaya,77.0,ID,1561953628.0,83.0,0.7,108.9,81.92,20.62
rodrigues alves,0.0,BR,1561953628.0,94.0,-7.74,-72.65,75.2,0.25
